273,41
273,41
230,52
193,72
191,104
237,123
251,134
277,139
269,149
226,158
191,154
167,145
164,168
185,171
198,166
215,175
205,198
208,208
195,208
186,237
203,234
250,227
266,202
261,181
237,186
235,205
231,233
226,248
240,255
269,249
278,278
262,268
225,268
188,260
166,263
129,279
122,232
100,200
76,206
59,189
36,190
32,166
76,187
111,169
145,140
159,122
162,86
132,103
98,128
66,141
56,125
44,127
47,102
46,74
42,57
92,59
129,52
114,75
96,84
105,96
116,87
138,87
